attribute_set,target_group,token,score_s_w_A_B
gender_names,male,pragmatic,0.00968486480414868
gender_names,male,military,0.07803573384881021
gender_names,male,electronic,0.020112408977001894
gender_names,male,backend,0.03382241921499372
gender_names,male,former,0.07326589375734333
gender_names,male,tabletop,-0.025607094308361413
gender_names,male,intercollegiate,0.002600911236368124
gender_names,male,pure,0.03141768425703048
gender_names,male,communal,0.0003223251551389694
gender_names,male,rational,0.026500943303108232
gender_names,male,methodical,0.04964989684522152
gender_names,male,vintage,-0.04405295699834824
gender_names,male,third,0.031129319965839397
gender_names,male,mini,-0.03900556080043316
gender_names,male,manageable,-0.03943251287564636
gender_names,male,arduino,0.014800936938263478
gender_names,male,broken,0.02750331610441209
gender_names,male,simplified,-0.005129697336815297
gender_names,male,paramount,0.036855918541550625
gender_names,male,written,0.02685407847166063
gender_names,male,raw,0.0007416397333145086
gender_names,male,counter,-0.012849599123001099
gender_names,male,old,0.021074926853179965
gender_names,male,harmful,-0.020407200604677184
gender_names,male,poor,0.03419793844223018
gender_names,male,stereotypical,-0.0342051550745964
gender_names,male,marshal,0.10338732786476612
gender_names,male,inconsistent,0.0597122147679329
gender_names,male,municipal,0.03723348292987794
gender_names,male,diligent,0.028222105652093904
gender_names,male,inner,-0.02738863676786421
gender_names,male,newtonian,0.0035892080515623204
gender_names,male,available,-0.02510315589606761
gender_names,male,paramedic,0.007606797665357601
gender_names,male,elite,0.06399539485573769
gender_names,male,migrant,-0.031177296862006182
gender_names,male,uniform,0.0049362279474735316
gender_names,male,celestial,0.016360394656658173
gender_names,male,sound,0.028874139487743394
gender_names,male,bayesian,-0.009855071455240255
gender_names,male,unbiased,-0.004486269131302838
gender_names,male,proactive,-0.02418881366029381
gender_names,male,testable,0.0008571669459342957
gender_names,male,federal,0.02625773027539255
gender_names,male,unassuming,0.03590784370899203
gender_names,male,instructive,0.034088074066676195
gender_names,male,untested,0.026531312149018056
gender_names,male,resilient,-0.02274291999638081
gender_names,male,legislative,0.017705160751938814
gender_names,male,neural,-0.012691523320972918
gender_names,male,robotic,0.0184613186866045
gender_names,male,industrial,0.03823500846046955
gender_names,male,cloud,0.025730965100228792
gender_names,male,consistent,0.036029948294162756
gender_names,male,solar,0.013771269470453262
gender_names,male,unfamiliar,-0.009197115153074253
gender_names,male,logical,0.03312906175851821
gender_names,male,anti,0.010468088462948805
gender_names,male,elaborate,0.016235975176095957
gender_names,male,numerical,0.005934791173785925
gender_names,male,d,0.040551734715700144
gender_names,male,robust,0.02132797655649482
gender_names,male,disciplined,0.03703649416565896
gender_names,male,inter,0.008712480962276462
gender_names,male,predictive,-0.013773088343441486
gender_names,male,savvy,-0.02138595879077912
gender_names,male,moderate,0.00630740523338319
gender_names,male,smart,0.007828791439533245
gender_names,male,late,0.05098705887794497
gender_names,male,internal,-0.011143888067454089
gender_names,male,interested,-0.00014908015727993496
gender_names,male,earnest,0.05320384502410891
gender_names,male,civil,0.039176480472087855
gender_names,male,simple,0.015002240240573866
gender_names,male,autonomous,-0.015704991505481297
gender_names,male,automotive,0.04821762917563319
gender_names,male,fraud,0.05627849102020263
gender_names,male,dedicated,0.0027322679758071955
gender_names,male,heated,-0.015707282349467278
gender_names,male,linear,0.01376623151008971
gender_names,male,logistical,0.016445203870534893
gender_names,male,average,0.01595898121595382
gender_names,male,analytic,0.00010860432375921214
gender_names,male,helpful,-0.016137347370386135
gender_names,male,following,0.028869014978408825
gender_names,male,spatial,-0.0018702198285609488
gender_names,male,green,-0.017476414144039137
gender_names,male,full,0.003434027731418654
gender_names,male,residential,-0.00223652105778456
gender_names,male,solid,0.06332755908370019
gender_names,male,tremendous,0.04316447675228119
gender_names,male,tactical,0.07383045009337366
gender_names,male,school,-0.014653009176254228
gender_names,male,uncanny,0.012544634193181997
gender_names,male,electric,0.02034880220890045
gender_names,male,legal,0.013344097137451189
gender_names,male,ideological,0.03942045848816633
gender_names,male,computational,-0.003743101703003047
gender_names,male,civic,0.017509036511182796
gender_names,male,courteous,0.029086698591709134
gender_names,male,technological,0.017867203056812275
gender_names,male,collegiate,0.024285812675952922
gender_names,male,second,0.020506583154201508
gender_names,male,standard,0.02793426113203168
gender_names,male,intelligent,0.02135311663150785
gender_names,male,architectural,0.013383762352168552
gender_names,male,plain,0.009176966547965987
gender_names,male,entrepreneurial,-0.0007113546133041548
gender_names,male,simulated,-0.014989578537642961
gender_names,male,regulatory,-0.015006453008390964
gender_names,male,extra,0.0032477527856826782
gender_names,male,suited,0.039360687136650085
gender_names,male,middle,0.0037947475910186657
